date,country,confirmed_cases,deaths,recovered
2023-01-20,South Africa,1606,1403,56
2023-01-20,Argentina,9928,4377,1498
2023-01-20,Saudi Arabia,4678,3447,387
2023-01-21,United States,3157,2165,678
2023-01-21,China,8232,2410,5687
2023-01-21,India,5625,2480,1987
2023-01-21,Brazil,4326,841,2009
2023-01-21,Russia,434,268,14
2023-01-21,France,5120,4071,198
2023-01-21,United Kingdom,7813,1006,730
2023-01-21,Italy,9327,7160,1227
2023-01-21,Spain,5663,3724,76
2023-01-21,Canada,5977,1301,1665
2023-01-21,Germany,1553,192,468
2023-01-21,Australia,6708,3499,314
2023-01-21,Japan,8847,5345,2170
2023-01-21,South Korea,6634,3333,2896
2023-01-21,Mexico,4160,413,50
2023-01-21,Indonesia,4934,931,611
2023-01-21,Nigeria,4777,492,1978
2023-01-21,South Africa,6707,3257,2484
2023-01-21,Argentina,8673,734,7462
2023-01-21,Saudi Arabia,7625,5821,1169
2023-01-22,United States,7542,520,2068
2023-01-22,China,4313,3553,95
2023-01-22,India,1634,928,505
2023-01-22,Brazil,7258,289,2450
2023-01-22,Russia,6676,744,145
2023-01-22,France,4059,1555,862
2023-01-22,United Kingdom,241,225,4
2023-01-22,Italy,2153,325,772
2023-01-22,Spain,424,387,20
2023-01-22,Canada,7106,2960,2648
2023-01-22,Germany,5201,4930,215
2023-01-22,Australia,3509,2327,47
2023-01-22,Japan,4888,560,2343
2023-01-22,South Korea,3158,1087,1230
2023-01-22,Mexico,4992,4519,276
2023-01-22,Indonesia,8541,7500,989
2023-01-22,Nigeria,5051,102,2971
2023-01-22,South Africa,4676,771,1019
2023-01-22,Argentina,8762,8653,58
2023-01-22,Saudi Arabia,2248,758,1216
2023-01-23,United States,773,538,132
2023-01-23,China,1250,674,419
2023-01-23,India,3851,1141,2397
2023-01-23,Brazil,9990,4474,2851
2023-01-23,Russia,1556,586,402
2023-01-23,France,3456,74,226
2023-01-23,United Kingdom,1632,989,565
2023-01-23,Italy,2394,1294,630
2023-01-23,Spain,7483,7084,243
2023-01-23,Canada,2680,1257,1043
2023-01-23,Germany,8069,4770,1384
2023-01-23,Australia,9351,3876,1828
2023-01-23,Japan,6450,5360,939
2023-01-23,South Korea,4203,904,1731
2023-01-23,Mexico,5983,4716,869
2023-01-23,Indonesia,8860,6300,2533
2023-01-23,Nigeria,3543,3109,371
2023-01-23,South Africa,6720,1327,2597
2023-01-23,Argentina,9954,2514,1761
2023-01-23,Saudi Arabia,7526,1043,161
2023-01-24,United States,1353,950,382
2023-01-24,China,5003,1827,2764
2023-01-24,India,240,200,32
2023-01-24,Brazil,278,274,4
2023-01-24,Russia,8371,8130,100
2023-01-24,France,4444,1954,85
2023-01-24,United Kingdom,6788,5791,238
2023-01-24,Italy,824,130,462
2023-01-24,Spain,3870,624,2204
2023-01-24,Canada,868,77,724
2023-01-24,Germany,6610,4971,995
2023-01-24,Australia,3032,1548,376
2023-01-24,Japan,9099,1518,5183
2023-01-24,South Korea,868,658,13
2023-01-24,Mexico,1071,382,12
2023-01-24,Indonesia,532,233,299
2023-01-24,Nigeria,2358,1839,133
2023-01-24,South Africa,7466,7005,28
2023-01-24,Argentina,6277,2118,124
2023-01-24,Saudi Arabia,9193,44,2877
2023-01-25,United States,726,371,249
2023-01-25,China,9381,3966,4488
2023-01-25,India,6272,2242,2212
2023-01-25,Brazil,3329,2845,258
2023-01-25,Russia,1604,102,521
2023-01-25,France,3870,937,1902
2023-01-25,United Kingdom,4112,2250,849
2023-01-25,Italy,5115,3687,1296
2023-01-25,Spain,6061,1630,3243
2023-01-25,Canada,922,655,25
2023-01-25,Germany,3274,1959,862
2023-01-25,Australia,2317,1817,201
2023-01-25,Japan,6024,2864,1298
2023-01-25,South Korea,7631,1846,3502
2023-01-25,Mexico,8406,111,7387
2023-01-25,Indonesia,154,12,134
2023-01-25,Nigeria,105,68,6
2023-01-25,South Africa,4791,3495,1088
2023-01-25,Argentina,8501,7047,1386
2023-01-25,Saudi Arabia,2385,541,1057
2023-01-26,United States,5468,4758,260
2023-01-26,China,3589,1551,1115
2023-01-26,India,7015,5960,1038
2023-01-26,Brazil,1972,1296,118
2023-01-26,Russia,4801,250,4511
2023-01-26,France,1430,549,489
2023-01-26,United Kingdom,7881,5444,1170
2023-01-26,Italy,9883,9831,24
2023-01-26,Spain,9111,6326,942
2023-01-26,Canada,1053,94,767
2023-01-26,Germany,9980,5408,2340
2023-01-26,Australia,266,20,219
2023-01-26,Japan,7387,6044,1219
2023-01-26,South Korea,467,446,9
2023-01-26,Mexico,2432,1640,64
2023-01-26,Indonesia,9787,4608,4019
2023-01-26,Nigeria,9204,3830,764
2023-01-26,South Africa,3835,1341,1534
2023-01-26,Argentina,5348,4579,378
2023-01-26,Saudi Arabia,8996,3647,1854
2023-01-27,United States,3623,546,1000
2023-01-27,China,3046,2200,681
2023-01-27,India,5746,1178,1561
2023-01-27,Brazil,9216,1970,7053
2023-01-27,Russia,4387,512,1812
2023-01-27,France,1166,1017,96
2023-01-27,United Kingdom,3301,383,2006
2023-01-27,Italy,5825,3654,1402
2023-01-27,Spain,5514,2374,1502
2023-01-27,Canada,8448,7161,799
2023-01-27,Germany,1915,827,178
2023-01-27,Australia,4654,4247,266
2023-01-27,Japan,3180,2735,161
2023-01-27,South Korea,4844,3389,872
2023-01-27,Mexico,9761,6768,2954
2023-01-27,Indonesia,544,420,111
2023-01-27,Nigeria,1472,535,552
2023-01-27,South Africa,4122,2989,456
2023-01-27,Argentina,1635,109,1494
2023-01-27,Saudi Arabia,419,59,140
2023-01-28,United States,9826,5011,3247
2023-01-28,China,9225,6118,1034
2023-01-28,India,2549,1871,152
2023-01-28,Brazil,5594,5045,93
2023-01-28,Russia,5275,2171,567
2023-01-28,France,5409,912,764
2023-01-28,United Kingdom,9430,1405,3411
2023-01-28,Italy,9372,9104,58
2023-01-28,Spain,6530,2350,391
2023-01-28,Canada,655,545,30
2023-01-28,Germany,8396,1065,1311
2023-01-28,Australia,1469,647,447
2023-01-28,Japan,4190,3426,382
2023-01-28,South Korea,3436,524,1049
2023-01-28,Mexico,1709,564,330
2023-01-28,Indonesia,9755,3371,1207
2023-01-28,Nigeria,217,96,58
2023-01-28,South Africa,6357,3674,2656
2023-01-28,Argentina,1518,849,197
2023-01-28,Saudi Arabia,6519,2540,990
2023-01-29,United States,8364,8269,67
2023-01-29,China,1112,961,120
2023-01-29,India,7437,2885,1595
2023-01-29,Brazil,9363,975,1804
2023-01-29,Russia,6491,6397,9
2023-01-29,France,6826,2799,977
2023-01-29,United Kingdom,2389,595,361
2023-01-29,Italy,3033,1546,1468
2023-01-29,Spain,7033,6265,497
2023-01-29,Canada,1536,843,363
2023-01-29,Germany,8240,1033,4383
2023-01-29,Australia,1884,1332,486
2023-01-29,Japan,7788,362,3005
2023-01-29,South Korea,2786,1757,144
2023-01-29,Mexico,4425,667,2332
2023-01-29,Indonesia,5951,750,4444
2023-01-29,Nigeria,9934,3878,3284
2023-01-29,South Africa,2220,1156,1019
2023-01-29,Argentina,2192,1314,642
2023-01-29,Saudi Arabia,1497,306,503
2023-01-30,United States,2963,2077,27
2023-01-30,China,2010,567,355
2023-01-30,India,363,160,101
2023-01-30,Brazil,6101,3732,2029
2023-01-30,Russia,7417,3138,3797
2023-01-30,France,8907,1401,1719
2023-01-30,United Kingdom,1063,1028,13
2023-01-30,Italy,1679,1174,495
2023-01-30,Spain,6073,4844,85
2023-01-30,Canada,4156,118,3851
2023-01-30,Germany,9537,5836,914
2023-01-30,Australia,3137,2834,261
2023-01-30,Japan,8367,2571,1985
2023-01-30,South Korea,8903,8084,265
2023-01-30,Mexico,799,148,299
2023-01-30,Indonesia,5667,2498,1872
2023-01-30,Nigeria,6538,398,2716
2023-01-30,South Africa,8244,4709,1258
2023-01-30,Argentina,3824,2628,847
2023-01-30,Saudi Arabia,8420,2831,441
2023-01-31,United States,1844,596,350
2023-01-31,China,8447,3769,1369
2023-01-31,India,1206,1192,14
2023-01-31,Brazil,8171,4475,3452
2023-01-31,Russia,1435,1434,1
2023-01-31,France,6980,4398,1153
2023-01-31,United Kingdom,5270,4806,301
2023-01-31,Italy,2795,1444,853
2023-01-31,Spain,7045,2642,1259
2023-01-31,Canada,3670,2893,609
2023-01-31,Germany,6751,4056,552
2023-01-31,Australia,4173,2164,1766
2023-01-31,Japan,4250,2057,1371
2023-01-31,South Korea,2048,66,264
2023-01-31,Mexico,1596,644,21
2023-01-31,Indonesia,1223,262,9
2023-01-31,Nigeria,8616,5940,2595
2023-01-31,South Africa,9535,6896,1389
2023-01-31,Argentina,2360,1993,84
2023-01-31,Saudi Arabia,7536,3136,3613
2023-02-01,United States,5164,4935,178
2023-02-01,China,2955,370,909
2023-02-01,India,1537,1165,23
2023-02-01,Brazil,3469,1219,2084
2023-02-01,Russia,6042,4338,1661
2023-02-01,France,591,332,214
2023-02-01,United Kingdom,7681,2949,1260
2023-02-01,Italy,3964,2393,1029
2023-02-01,Spain,3235,2834,329
2023-02-01,Canada,8848,3791,3730
2023-02-01,Germany,3300,1269,654
2023-02-01,Australia,5773,1890,797
2023-02-01,Japan,9342,561,2316
2023-02-01,South Korea,3820,3432,226
2023-02-01,Mexico,8366,4350,2164
2023-02-01,Indonesia,3553,1165,842
2023-02-01,Nigeria,1227,689,49
2023-02-01,South Africa,7635,1569,1140
2023-02-01,Argentina,8236,5693,1722
2023-02-01,Saudi Arabia,9133,5006,4103
2023-02-02,United States,3356,2142,1065
2023-02-02,China,3183,1572,1307
2023-02-02,India,8942,323,7237
2023-02-02,Brazil,2681,1826,463
2023-02-02,Russia,8316,5247,1020
2023-02-02,France,5568,5297,55
2023-02-02,United Kingdom,1064,968,14
2023-02-02,Italy,4807,4244,305
2023-02-02,Spain,6591,896,1377
2023-02-02,Canada,2253,1578,273
2023-02-02,Germany,8244,3082,4083
2023-02-02,Australia,4343,2973,832
2023-02-02,Japan,9008,5746,544
2023-02-02,South Korea,1658,737,787
2023-02-02,Mexico,646,57,260
2023-02-02,Indonesia,5141,2092,137
2023-02-02,Nigeria,5182,4748,358
2023-02-02,South Africa,1034,98,690
2023-02-02,Argentina,8438,3146,1314
2023-02-02,Saudi Arabia,8516,123,486
2023-02-03,United States,5473,2952,1246
2023-02-03,China,7415,7069,311
2023-02-03,India,1094,1027,39
2023-02-03,Brazil,9718,43,5082
2023-02-03,Russia,6327,865,4555
2023-02-03,France,2558,2039,398
2023-02-03,United Kingdom,2243,2219,22
2023-02-03,Italy,2514,252,501
2023-02-03,Spain,5758,2864,113
2023-02-03,Canada,8580,478,340
2023-02-03,Germany,5653,5639,4
2023-02-03,Australia,3241,312,106
2023-02-03,Japan,593,37,153
2023-02-03,South Korea,6215,490,4064
2023-02-03,Mexico,3174,1531,1339
2023-02-03,Indonesia,7904,5258,1206
2023-02-03,Nigeria,6620,2879,2775
2023-02-03,South Africa,8221,2226,889
2023-02-03,Argentina,1169,366,631
2023-02-03,Saudi Arabia,2190,725,174
2023-02-04,United States,5340,510,373
2023-02-04,China,9379,5873,2118
2023-02-04,India,8225,6358,965
2023-02-04,Brazil,6192,2560,2828
2023-02-04,Russia,8321,2142,2407
2023-02-04,France,9540,5694,666
2023-02-04,United Kingdom,3798,764,1450
2023-02-04,Italy,7407,919,499
2023-02-04,Spain,4531,2308,509
2023-02-04,Canada,9499,6040,3273
2023-02-04,Germany,5907,4577,1233
2023-02-04,Australia,2944,1469,480
2023-02-04,Japan,125,52,30
2023-02-04,South Korea,5254,1967,2560
2023-02-04,Mexico,4285,3669,515
2023-02-04,Indonesia,8208,4412,794
2023-02-04,Nigeria,9016,8905,104
2023-02-04,South Africa,9123,474,6860
2023-02-04,Argentina,4016,2238,478
2023-02-04,Saudi Arabia,2886,476,1076
2023-02-05,United States,2415,2103,116
2023-02-05,China,7595,116,5354
2023-02-05,India,9383,5163,2956
2023-02-05,Brazil,6815,5647,893
2023-02-05,Russia,1664,1396,255
2023-02-05,France,8001,451,1684
2023-02-05,United Kingdom,6202,2119,2661
2023-02-05,Italy,3974,244,1351
2023-02-05,Spain,2185,341,318
2023-02-05,Canada,9824,6447,3121
2023-02-05,Germany,2922,1321,828
2023-02-05,Australia,3325,2825,225
2023-02-05,Japan,472,23,340
2023-02-05,South Korea,7894,2306,1968
2023-02-05,Mexico,1078,867,124
2023-02-05,Indonesia,969,476,152
